candidate_id,scope,paths,overlap_type,known_difference,current_decision,required_evidence_before_delete,risk
DUP-001,web execution,"projects/web-main/backend/services/task_service.py | projects/web-main/worker/tasks/",parallel dispatch paths,"task_service executes core synchronously; worker wrappers are not a real queue",preserve-both-until-runner-contract,"reference graph; shared runner contract; API/E2E parity; true async verification",high
DUP-002,web frontend epilepsy,"projects/web-main/frontend/app.js | projects/web-main/frontend/epilepsy-workbench.js | projects/web-main/frontend/epilepsy-full-flow-preview.js | related review/report previews",parallel UI implementations,"main app inline flow versus lab/workbench/preview roles",classify-and-preserve,"entrypoint map; action/API parity; UI E2E; lifecycle decision",high
DUP-003,web QC,"eeg_core/preprocess/qc_preview.py | eeg_core/preprocess/quality.py | backend/api/lab_edf_reviewer.py | frontend/qc-lab.*",overlapping QC/review capabilities,"formal preparation directives versus lab reviewer",preserve-separate-contracts,"numeric fixture; route/consumer map; product versus lab boundary",high
DUP-004,PAC,"eeg_core/analysis/pac.py | eeg_core/analysis/pac_v2.py",same method family,"different lifecycle/parameters/result contracts",preserve-versioned,"estimator/profile schema; numerical comparison; report/API/UI parity",high
DUP-005,PSD-band-power,"eeg_core/analysis/psd.py | eeg_core/analysis/band_power.py | qeeg spectral.py at baseline",shared Welch foundation,"mean versus integral; units; frequency bands; QC-retained input",extract-contract-first,"golden fixtures; profile IDs; units/provenance; channel/time semantics",critical
DUP-006,QEEG pipelines,"run_full_recording_spectral_pipeline | run_recovered_full_pipeline",overlapping orchestration,"spectral-only bypasses full auto QC",preserve-distinct,"explicit input contract; retained interval mapping; result parity boundaries",critical
DUP-007,QEEG reports,"report.py | expanded_report.py",overlapping renderer/validator helpers,"baseline versus full historical method atlas",semantic-review-required,"call graph; artifact list; renderer golden tests",medium
DUP-008,QEEG generated results,"results/v0.2.0-* through v0.2.5-*",repeated output families,"contracts and visuals evolved; v0.2.4/r1 near duplicates",ignore-and-index-only,"run manifests; source/version/env/fixture provenance; canonical evidence decision",medium
DUP-009,web static assets,"frontend/assets/* | frontend/assets/research-modules/*",byte-identical and near-identical figures,"may serve different URLs/pages",preserve-until-url-audit,"SHA-256 groups; HTML/JS references; browser screenshot/E2E",medium
DUP-010,legacy-backup-preview,"*.bak* | legacy* | demo/preview/lab files | unmounted test routers",historical or alternate entry candidates,"no Git history before baseline; some are acceptance fixtures",preserve-and-classify,"reference graph; release contract; acceptance coverage; explicit user deletion approval",medium
